dow,lake_name,between,degree
11025000,ada,259,284
44001400,south twin,418,285
31072200,moose,420,286
4011100,turtle river,194,287
86021700,granite,710,288
7004400,madison,107,289
21001600,smith,470,290
16013900,clearwater,131,291
29006600,midge,323,292
4003800,andrusia,188,293
34015400,nest,340,294
4007900,wolf,205,295
29004800,benedict,260,296
86015600,mary,1236,297
47005000,manuella,803,298
31088200,dora,282,299
27011100,eagle/pike,272,300
3058800,upper cormorant,231,301
40005700,frances,242,302
86001100,charlotte,606,302
58014200,pokegama,540,304
30004300,fannie,435,305
4001100,moose,236,306
60021700,union,458,307
1014700,esquagamah,895,308
10009500,swede,351,309
30002200,skogman,1262,310
21018000,mill,329,311
27018400,whaletail,100,312
69011500,bear island,95,313
31089600,round,238,314
4012200,medicine,394,315
31071700,rice,532,316
11041500,pike bay,27,317
31092600,sugar,446,318
56032800,little mcdonald,441,319
29008600,first crow wing,818,320
18037700,middle cullen,448,321
56020900,buchanan,455,322
43011500,cedar,711,323
60030500,maple,287,324
11020000,mule,423,325
3057500,leif,349,326
61006400,amelia,543,327
69028500,eagles nest,164,328
82010600,elmo,315,329
11030700,norway,820,330
18040400,sibley,821,331
10001300,susan,372,332
47004600,washington,92,333
19000600,byllesby,48,334
6000200,artichoke,762,335
4014000,irving,225,336
38064400,moose,277,337
73013900,long,715,338
18032000,gilbert,398,339
11030800,big portage,1827,340
71005700,birch,1980,341
29018400,blue,1096,342
75007500,perkins,445,343
56078600,pelican,128,344
4013400,three island,274,345
11017400,girl,586,346
47006800,stella,297,347
3032800,white earth,654,348
31033400,deer,241,349
3009600,big basswood,410,350
70009500,o'dowd,328,351
29007700,third crow wing,720,352
9003200,big,605,353
18033800,gladstone,388,354
31083600,little whitefish,897,355
1013600,waukenabo,671,356
34008600,big kandiyohi,190,357
18021800,trout,115,358
18001800,camp,493,359
11014600,six mile,1569,360
34022400,games,331,361
82005400,bone,496,362
3058200,ida,325,363
61000600,johanna,832,364
29025000,portage,691,365
38081700,crooked,98,366
78002500,traverse,521,367
4032900,balm,558,368
21025700,oscar,350,369
55000400,zumbro,334,370
82010100,demontreville,335,371
86022900,mink,699,372
77016400,little sauk,1828,373
11027400,blackwater,526,374
29016200,boulder,449,375
1013700,round,1063,376
3029300,rock,817,377
10004800,wassermann,346,378
31072500,turtle,560,379
70009100,cedar,261,380
2000500,george watch,146,381
38063700,bald eagle,327,382
1014200,hill,211,383
40011700,washington,127,384
1004000,aitkin,581,385
18035600,clamshell,239,386
80003400,blueberry,384,387
77006600,thunder,1800,388
73005100,pleasant,1208,389
3013600,juggler,447,390
11010200,island,1054,390
18030600,bass,2417,392
10004500,steiger,345,393
2000300,otter,376,394
73007600,goodners,724,395
18029800,east fox,1264,396
86016800,locke,1576,397
77002300,big swan,777,398
40006300,german,3474,399
66000800,cannon,1178,400
34017200,ringo,741,401
29009300,sixth crow wing,666,402
21008000,darling,408,403
62005600,owasso,198,404
80003000,lower twin,717,405
34015800,lake monongalia,615,406
10004400,auburn,250,407
11007700,big sand,655,408
36000100,nett,396,409
56024500,devils,474,410
34020600,andrew,411,411
27004200,twin,712,412
58011900,cross,1665,413
34017100,eagle,278,414
1002300,round,1269,415
3032300,strawberry,1139,416
40003100,tetonka,1653,416
3015900,elbow,1635,418
86026300,cokato,1176,419
21015100,blackwell,313,420
11035800,horseshoe,1105,421
18026100,pine,2829,422
69048900,caribou,1224,423
86019000,ann,664,424
15006800,long lost,808,425
11010100,george,632,426
1014600,ripple,553,427
69084200,black duck,1124,428
29014200,duck,1091,429
56038800,long,522,430
56078100,swan,512,431
11012900,lower trelipe,765,432
29017800,pickerel,1367,433
18039600,edna,353,434
34019200,long,403,435
73011700,big spunk,544,436
18035100,little pelican,739,437
1016100,hammal,1328,438
47001600,wolf,1307,439
13002800,south lindstrom,387,440
1009900,gun,1419,441
3026500,eagle,548,442
18029600,eagle,1263,443
31000700,new,375,444
73012800,middle spunk,696,445
56021000,long,2130,446
86022300,indian,746,447
29014300,big stony,1461,448
3038600,little floyd,1012,449
16063300,saganaga,179,450
70005400,spring,385,451
11029600,moccasin,1650,452
11002900,vermillion,577,453
11002600,sugar,552,454
69074400,elbow,360,455
51004600,shetek,235,456
8002600,hanska,1087,457
73003700,pearl,1045,458
48001200,shakopee,499,459
62006700,long,825,460
69025400,bear head,347,461
1015700,big pine,484,462
82010400,jane,1030,463
1008700,sugar,822,464
11048800,thirteen,301,465
56003100,adley,854,466
3065800,long,791,467
40009200,jefferson,2088,468
13008300,goose,1183,469
56007900,block,1016,470
21024200,aaron,1049,471
19003100,orchard,386,472
77000700,mound,500,473
31006900,buck,444,474
3060200,middle cormorant,305,475
71014600,briggs,3630,476
77018100,maple,718,477
11019000,town line,453,478
11010500,upper trelipe,1396,479
16007700,greenwood,84,480
73015900,big,609,481
71001600,fremont,3746,482
21007300,vermont,2000,483
18037400,clark,471,484
1010200,wilkins,1629,485
86023400,bass,1309,486
1008900,long,3487,487
3028700,pickerel,592,488
29007800,fourth crow wing,926,489
31085200,little cut foot sioux,252,490
3003000,boot,2639,491
38078200,garden,126,492
15000100,big lasalle,591,493
61006700,villard,847,494
1011700,nord,1343,495
61004100,scandinavian,1086,496
80003700,stocking,1848,497
4003200,pimushe,222,498
34016900,lake wakanda,876,499
56019100,stuart,1532,500
73011800,pelican,1842,501
10001500,virginia,248,502
29031300,little mantrap,721,503
56038300,dead,221,504
75002400,long,603,505
69088900,island,893,506
56074700,lida,24,507
11020400,portage,624,508
77008800,turtle,2161,509
56038500,star,224,510
71006900,ann,3752,511
31002000,hart,438,512
11032400,rock,503,513
33004000,ann,2469,514
56006600,fish,977,515
31084300,whitefish,771,516
1017800,spirit,732,517
69066000,ely,555,518
86018200,rock,1384,519
69049600,embarrass,358,520
4015200,movil,326,521
61007200,gilchrist,3631,522
21024500,moses,1699,523
31065300,north star,740,524
9004100,moosehead,887,525
73012300,lower spunk,436,526
7006000,eagle,935,527
29008900,shallow,914,528
31053800,spider,858,529
69084800,prairie,1745,530
56033500,paul,2757,531
82004900,big carnelian,514,532
58006200,island,2225,533
18036100,kimball,653,534
86022100,camp,4501,535
11008600,grave,880,536
21004900,burgen,1950,537
62000700,gervais,608,538
47001500,jennie,1864,539
29008800,island,1486,540
18016900,stark,1006,541
27018100,dutch,416,542
31056100,blackwater,778,543
71014100,elk,4664,544
86014600,ida,2976,545
9003600,perch,692,546
2013300,east twin,2914,547
60003200,turtle,434,548
29021700,paine,1248,548
10008800,hydes,2210,550
31008400,shallow,511,551
60006900,sand hill,557,552
18037100,perch,874,553
21010300,cowdry,1219,554
34002200,elizabeth,1592,555
73001400,marie,1691,556
11022600,loon,684,557
86016300,limestone,782,558
71014700,rush,1632,559
1011500,section ten,1543,560
47003800,big swan,972,561
18038600,red sand,924,562
1009600,dam,1104,563
66005500,shields,1408,564
31091300,island,781,565
26009500,barrett,844,565
11035100,five point,1626,567
38073800,north branch kawishiwi,108,568
62007800,johanna,405,569
1006900,portage,2507,570
81001400,clear,2756,571
4013200,big bass,319,572
34014200,george,695,573
66003800,french,5650,574
4023000,deer,766,575
56038600,big mcdonald,255,576
66003900,mazaska,702,577
1010500,fleming,1354,578
44003800,island,815,579
69012100,iron,149,580
69081000,elephant,1137,581
77015400,fairy,3453,582
27010700,parkers,950,583
4003400,rabideau,428,584
1012500,lone,2356,585
11036100,sanborn,1587,586
11009200,little sand,2134,587
3024200,flat,976,588
18036400,clear,1375,589
86029300,collinwood,599,590
27004700,bush,1001,591
5001300,little rock,930,592
73024900,sylvia,5585,593
31078400,little jessie,1564,594
33003600,fish,1715,595
69061300,vermilion river,362,596
56094500,orwell,520,597
71008100,mitchell,1940,597
9001600,sand,1357,599
13003100,sunrise,1081,600
31073900,leighton,870,601
58013800,big pine,1301,602
77002700,long,4341,603
47017700,long,1120,604
69033000,oyster,468,605
61002300,grove,3072,606
1012300,elm island,4141,607
21004100,union,3436,608
9006700,tamarack,5207,609
11047600,portage,619,610
18029700,west fox,2663,611
1012900,sissabagamah,5516,612
15001000,elk,2231,613
80003900,spirit,2486,614
4016600,julia,476,615
31072600,bello,1431,616
27011600,rice,391,617
11006900,bass,1830,618
10012100,eagle,4061,619
18029300,kego,4126,620
40000200,upper sakatah,4538,621
3038300,long,1017,622
13007300,horseshoe,1298,623
56011400,west leaf,650,624
29008700,palmer,1133,625
9005700,eagle,4896,626
3012700,bass,2768,627
11048000,long,1106,628
77006300,big,5076,629
69024900,colby,597,630
27019200,rebecca,981,631
69073600,sand,776,632
15007900,minerva,1174,633
29018000,lower bottle,677,634
69074900,myrtle,1171,635
2003400,martin,898,636
82004600,square,1605,637
30008000,francis,3355,638
58012300,grindstone,1803,639
38060500,one,534,640
3050000,maud,1050,641
86005100,constance,6546,642
66005200,cedar,3158,643
69045600,jeanette,748,644
16002900,devilfish,217,645
18026600,little pine,783,646
3031300,little sugar bush,2781,647
69037600,whitewater,413,648
56019600,mason,993,649
18025600,bass,2981,650
86018400,dutch,1068,651
2005200,netta,1905,651
27012500,diamond,429,653
29024600,hennepin,1457,654
77002600,moose,2097,654
29030000,hattie,2215,656
27000300,u.s. lock & dam #1 pool,355,657
56021400,round,1432,658
21010800,mina,768,659
56022900,murphy,1638,660
3035000,buffalo,1324,661
18037600,upper cullen,819,662
60002700,cross,861,662
34018000,willmar,3009,664
4021700,grant,1014,665
46010900,fox,1325,666
69042600,loon,475,667
69060800,little vermilion,430,668
77003500,beauty,6778,669
9002900,park,1908,670
56036300,rice,1649,671
61006600,leven,1196,672
69019000,big,262,673
47004900,belle,2744,674
21010200,brophy,1201,675
