"dow","ss_infest2019"
"4013500",1
"4003000",1
"73005500",1
"73020000",1
"27010400",1
"61013000",1
"4001100",1
"86025100",1
"73019600",1
"4015900",1
"4003500",1
"86027900",1
"11014700",1
"4007900",1
